HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
9213;Dachau, Robert-Bosch-Straße;Robert-Bosch-Straße;Dachau;9174115;de:09184:9213;7;;;;
9214;Dachau, J.-F.-Kennedy-Platz;J.-F.-Kennedy-Platz;Dachau;9174115;;;;;;
9216;Oberschleißheim, Bruckmannring;Bruckmannring;Oberschleißheim;9184135;de:09184:9216;6,7;4466901;812640;48,26330741;11,55274149
9217;Oberschleißh., Mittenheim;Mittenheim;Oberschleißheim;9184135;de:09184:9217;6,7;4467234;812670;48,26305495;11,55722883
9220;Neuherberg, FC Bayern Campus;FC Bayern Campus;Neuherberg (Oberbay);9184135;de:09184:9220;4,5;4469468;818172;48,2136874;11,58771463
9249;Martinsried, Lena-Christ-Str.;Lena-Christ-Straße;Martinsried;9184138;;4;4459307;829286;48,11316939;11,45205896
9250;Martinsried, Martinsried;Martinsried;Martinsried;9184138;de:09184:9250;4;4459474;829794;48,1086116;11,45434992
9251;Furth, Auf der Wies;Auf der Wies;Oberhaching;9184134;de:09184:9251;5;4470315;838483;48,03106748;11,60052806
9252;Oberhaching, Hahilingastraße;Hahilingastraße;Oberhaching;9184134;de:09184:9252;5;4470042;838806;48,02814988;11,59689031
9256;Oberhaching, Vogelanger;Vogelanger;Oberhaching;9184134;de:09184:9256;5;4468491;839188;48,02463971;11,57612388
9257;Oberhaching, Äußerer Stockweg;Äußerer Stockweg;Oberhaching;9184134;de:09184:9257;5;4468399;838858;48,02760294;11,57486614
9258;Oberhaching, Linienstraße;Linienstraße;Oberhaching;9184134;de:09184:9258;5;4468529;838656;48,02942601;11,57659419
9260;Oberhaching, Kirchplatz;Kirchplatz;Oberhaching;9184134;de:09184:9260;5;4469993;838995;48,02644784;11,59624661
9261;Oberhaching, Hohenwaldstraße;Hohenwaldstraße;Oberhaching;9184134;de:09184:9261;5;4468253;838367;48,03201139;11,57287228
9262;Deisenhofen, Hubertusstraße;Hubertusstraße;Deisenhofen (Kr DLG);9773139;;;;;;
9265;Deisenhofen, Hofmarkstraße;Hofmarkstraße;Deisenhofen (b Mchn);9184134;de:09184:9265;5,6;4468768;839494;48,02190138;11,57985975
9268;Deisenhofen, Ludwig-Thoma-Str.;Ludwig-Thoma-Straße;Deisenhofen (b Mchn);9184134;de:09184:9268;5,6;4469317;839797;48,01920305;11,58724113
9269;Oberhaching, Schmidweg;Schmidweg;Oberhaching;9184134;de:09184:9269;5;4469016;838447;48,03132945;11,58310852
9292;Ismaning, Carl-Zeiss-Ring;Carl-Zeiss-Ring;Ismaning;9184130;de:09184:9292;5,6;4476301;815731;48,23593195;11,67952055
9293;Ismaning, Robert-Bürkle-Str.;Robert-Bürkle-Straße;Ismaning;9184130;de:09184:9293;5,6;4476824;816345;48,23042957;11,68659459
9301;Sauerlach, Rudolf-Diesel-Ring;Rudolf-Diesel-Ring;Sauerlach;9184141;de:09184:9301;7,8;4474776;845253;47,97037413;11,66074008
9302;Sauerlach, Robert-Bosch-Str.;Robert-Bosch-Straße;Sauerlach;9184141;de:09184:9302;7,8;4475082;845235;47,97054802;11,6648371
9303;Sauerlach, Ludwig-Bölkow-Str.;Ludwig-Bölkow-Straße;Sauerlach;9184141;de:09184:9303;7,8;4474959;845059;47,97212606;11,66317956
9304;Sauerlach, Mühlweg;Mühlweg;Sauerlach;9184141;de:09184:9304;7,8;4474811;845444;47,96865776;11,66122003
9311;Bad Tölz, Im Farchet;Im Farchet;Bad Tölz;9173112;de:09173:9311;;4466308;867080;47,77368273;11,54903877
9312;Bad Tölz, Im Farchet (RVO);Im Farchet (RVO);Bad Tölz;9173112;de:09173:9312;;4466238;866904;47,77526195;11,54809116
9313;Bad Tölz, Jahnschule;Jahnschule;Bad Tölz;9173112;de:09173:9313;;4467383;867948;47,7659316;11,56344624
9314;Bad Tölz, Jahnstraße/AOK;Jahnstraße/AOK;Bad Tölz;9173112;de:09173:9314;;4467402;868002;47,7654469;11,56370375
9315;Bad Tölz, Eisenbergerstraße;Eisenbergerstraße;Bad Tölz;9173112;de:09173:9315;;4467792;868301;47,76277742;11,56892834
9316;Bad Tölz, Grünerbrauerei;Grünerbrauerei;Bad Tölz;9173112;de:09173:9316;;4467681;868442;47,76150374;11,56745823
9317;Bad Tölz, Maierbräugasteig;Maierbräugasteig;Bad Tölz;9173112;de:09173:9317;;4467145;868405;47,76180938;11,56030599
9318;Bad Tölz, Maxlweiher;Maxlweiher;Bad Tölz;9173112;de:09173:9318;;4468420;868642;47,75974167;11,57732995
9319;Bad Tölz, Eisstadion;Eisstadion;Bad Tölz;9173112;de:09173:9319;;4468547;868873;47,75767034;11,57904062
9320;Bad Tölz, A.Schäffenacker-Str.;Alb.-Schäffenacker-Str.;Bad Tölz;9173112;de:09173:9320;;4468997;868799;47,7583577;11,58503723
